index,cost,sim_edges_bestLO,sim_nodes_bestLO,sim_edges_ILS,sim_nodes_ILS,avg_sim_edges_all,avg_sim_nodes_all
311,74857.0,44,89,45,90,41.467467467467465,87.1981981981982
312,73636.0,55,92,52,92,44.608608608608606,88.33033033033033
313,72870.0,47,90,56,91,46.3053053053053,88.30930930930931
314,74640.0,49,86,51,86,46.333333333333336,86.61761761761761
315,71804.0,57,93,56,94,46.533533533533536,88.3973973973974
316,73265.0,49,93,51,91,45.449449449449446,88.57557557557557
317,74440.0,53,91,52,89,46.03503503503504,88.10510510510511
318,76277.0,38,85,47,87,42.271271271271274,85.87887887887888
319,75763.0,48,87,46,85,45.05805805805806,86.52752752752752
320,75279.0,42,86,46,85,43.349349349349346,86.4024024024024
321,74094.0,53,91,54,91,47.04004004004004,88.6056056056056
322,71904.0,53,91,59,94,45.67967967967968,87.48748748748748
323,74436.0,53,92,52,89,46.853853853853856,88.77677677677677
324,73641.0,52,90,53,88,45.87487487487488,86.47347347347348
325,74748.0,46,90,53,90,45.250250250250254,88.86786786786787
326,73212.0,45,92,64,92,47.45645645645646,89.1901901901902
327,75101.0,44,88,54,89,44.5055055055055,87.52052052052052
328,76817.0,43,81,48,83,42.57757757757758,83.93093093093093
329,73744.0,49,91,53,90,45.44144144144144,88.54454454454455
330,73829.0,46,89,53,89,45.213213213213216,87.4014014014014
331,72285.0,52,91,62,91,46.98398398398398,87.71271271271272
332,74227.0,54,91,53,90,45.273273273273276,88.61861861861861
333,75550.0,51,85,51,88,44.85485485485486,86.27327327327328
334,74139.0,50,88,63,86,45.906906906906904,84.74874874874875
335,76383.0,45,84,46,83,41.668668668668666,84.06306306306307
336,72917.0,55,90,57,91,46.71871871871872,88.18318318318319
337,73656.0,48,90,50,91,43.87487487487488,88.50150150150151
338,74508.0,43,89,44,91,40.67967967967968,86.992992992993
339,73197.0,59,89,52,86,45.18418418418418,86.30630630630631
340,73277.0,52,90,63,91,46.607607607607605,86.62362362362363
341,76695.0,46,87,46,87,43.0,87.15415415415416
342,72564.0,64,92,55,91,47.314314314314316,87.8088088088088
343,74693.0,40,89,55,89,41.169169169169166,85.36936936936937
344,74641.0,46,89,49,89,40.86186186186186,85.77677677677677
345,74586.0,51,90,54,90,45.188188188188185,87.22622622622623
346,73329.0,57,94,61,94,46.969969969969966,89.36136136136136
347,73299.0,48,88,50,86,46.331331331331334,87.07707707707708
348,73410.0,46,88,49,87,43.95595595595596,86.98998998999
349,71811.0,48,89,65,91,48.871871871871875,88.18318318318319
350,75851.0,45,88,52,89,40.727727727727725,84.83583583583584
351,73910.0,54,92,55,89,46.172172172172175,87.17117117117117
352,73476.0,44,90,50,90,45.311311311311314,88.15515515515516
353,72298.0,63,92,59,90,48.2052052052052,88.64964964964965
354,75931.0,45,86,41,85,40.4034034034034,85.85185185185185
355,73990.0,45,91,49,90,44.533533533533536,88.45145145145145
356,72723.0,52,88,52,88,46.97997997997998,88.37537537537537
357,73185.0,56,91,61,91,46.21821821821822,86.18818818818819
358,73907.0,47,89,53,91,44.15715715715716,88.07307307307308
359,73003.0,55,89,51,89,47.6026026026026,87.45845845845845
360,73295.0,59,91,55,87,44.967967967967965,88.01201201201201
361,73768.0,50,92,51,91,44.74074074074074,88.1981981981982
362,73732.0,51,90,47,89,45.408408408408405,87.23823823823824
363,73583.0,41,89,49,91,44.546546546546544,89.2082082082082
364,76743.0,41,87,39,84,40.95495495495496,86.04504504504504
365,74936.0,49,88,46,88,44.509509509509506,87.11111111111111
366,72902.0,49,90,51,89,45.5995995995996,87.58058058058059
367,73524.0,54,90,57,89,47.4054054054054,88.3913913913914
368,73372.0,49,88,57,91,44.191191191191194,86.48448448448448
369,72751.0,49,90,56,91,48.066066066066064,89.53053053053053
370,73063.0,58,90,56,88,47.4004004004004,87.16116116116116
371,74953.0,48,88,56,91,44.15715715715716,87.69569569569569
372,72072.0,53,92,63,91,47.55955955955956,88.3913913913914
373,74684.0,49,92,49,90,44.93493493493494,89.68768768768768
374,74897.0,48,89,54,89,43.85885885885886,86.33933933933933
375,73302.0,48,90,44,89,44.832832832832835,88.48248248248248
376,73576.0,53,90,52,88,47.791791791791795,87.87587587587588
377,72936.0,52,90,53,90,47.68168168168168,88.65465465465465
378,74838.0,41,87,51,89,41.4984984984985,87.09609609609609
379,71771.0,52,93,57,93,48.14314314314314,89.64564564564564
380,75198.0,41,87,43,86,41.647647647647645,87.21121121121121
381,73007.0,57,91,51,91,47.086086086086084,89.24824824824825
382,73658.0,51,88,60,89,48.36436436436436,88.05205205205205
383,74671.0,43,87,48,87,43.55955955955956,86.07107107107107
384,73298.0,56,92,52,92,45.47947947947948,88.81581581581581
385,74263.0,49,91,56,88,45.46446446446446,88.65265265265265
386,72500.0,48,90,53,91,47.552552552552555,89.33233233233233
387,75152.0,44,86,47,89,42.167167167167165,85.63863863863864
388,73901.0,49,89,53,89,46.506506506506504,88.35335335335336
389,74365.0,43,89,48,91,44.328328328328325,88.74574574574575
390,75003.0,50,89,41,86,44.971971971971975,87.53153153153153
391,73179.0,46,90,57,90,45.998998998999,87.64264264264264
392,73149.0,53,90,61,91,45.331331331331334,88.06206206206207
393,73215.0,50,88,49,89,45.32132132132132,87.77377377377377
394,74208.0,43,90,53,89,43.493493493493496,88.21621621621621
395,72239.0,46,89,49,89,47.727727727727725,88.16116116116116
396,72457.0,52,91,60,93,47.16016016016016,88.55355355355356
397,73255.0,56,90,57,91,45.766766766766764,87.72272272272272
398,75430.0,49,88,48,88,42.328328328328325,87.01301301301301
399,73453.0,48,89,60,94,44.5005005005005,88.64764764764764
400,74161.0,53,91,51,89,45.06506506506506,88.3963963963964
401,73260.0,51,91,50,89,44.06506506506506,87.52752752752752
402,73662.0,49,87,52,86,46.91991991991992,87.30930930930931
403,73049.0,55,89,58,90,45.56456456456456,86.8008008008008
404,72845.0,51,92,54,90,48.130130130130134,88.49849849849849
405,73117.0,52,90,57,91,48.08008008008008,89.32932932932933
406,73990.0,48,88,48,87,44.434434434434436,86.64164164164164
407,72702.0,50,91,54,91,47.41941941941942,88.48848848848849
408,76795.0,40,83,45,84,42.6946946946947,85.04604604604604
409,73644.0,55,90,53,89,46.474474474474476,88.48048048048048
410,72960.0,44,86,57,89,47.271271271271274,87.23523523523524
411,71900.0,51,90,59,91,44.4984984984985,87.43943943943944
412,74028.0,49,87,49,91,41.83683683683684,86.37737737737737
413,73748.0,53,92,58,90,47.133133133133136,89.35235235235236
414,73543.0,47,89,52,91,43.86086086086086,87.81681681681681
415,73943.0,44,89,53,89,44.586586586586584,87.33533533533533
416,72725.0,50,90,55,91,44.68268268268268,87.69869869869869
417,75166.0,46,90,47,89,43.74274274274274,87.90090090090091
418,74517.0,44,89,46,88,42.632632632632635,88.33233233233233
419,74997.0,42,89,54,90,43.772772772772775,88.09309309309309
420,72351.0,51,89,63,89,47.350350350350354,87.27427427427428
421,73563.0,40,88,50,88,44.353353353353356,87.16316316316316
422,74407.0,43,87,48,88,42.186186186186184,85.92492492492492
423,73861.0,53,90,58,90,46.388388388388385,88.41541541541541
424,74230.0,44,88,42,87,43.410410410410414,87.08608608608608
425,74149.0,45,87,54,89,45.01901901901902,86.90590590590591
426,73141.0,53,93,48,91,45.12512512512512,88.93193193193193
427,73700.0,52,91,54,92,45.42242242242242,88.17917917917917
